t,x=0.001,x=0.5,x=1
12.100000000000001,-48.461076903944196,-61.624026943326676,-64.6234686517315
12.200000000000001,-48.016175987840846,-61.34111134610369,-64.39853390593707
12.3,-47.5358145334691,-61.04440650473036,-64.16753471862758
12.4,-47.01227567286908,-60.73091303695711,-63.92915573418558
12.5,-46.43572373778871,-60.396826811888324,-63.681658498490044
12.600000000000001,-45.79329185496447,-60.03725838000908,-63.42290841413623
12.700000000000001,-45.06801325455583,-59.64582781354018,-63.15030309756535
12.8,-44.237118501240886,-59.21407441306072,-62.86046980729991
12.9,-43.269510353575015,-58.73056183764275,-62.54883101158053
13.0,-42.121992228703625,-58.17948238512963,-62.20942988323318
13.100000000000001,-40.73351706738926,-57.53849677618277,-61.8342740221281
13.200000000000001,-39.016389347772204,-56.77517109862338,-61.412012699128965
13.3,-36.84321373374187,-55.84105179145864,-60.92665356165385
13.4,-34.02872822359381,-54.661447798109144,-60.354642128134486
13.5,-30.309638852911366,-53.11745683344371,-59.660230987784644
13.600000000000001,-25.33972965564212,-51.014084188699954,-58.78710362461721
13.700000000000001,-18.756804818923726,-48.02490114737527,-57.64311228030754
13.8,-10.443078869193895,-43.60486979353047,-56.071326684960745
13.9,-1.0593051484666747,-36.89228650087395,-53.7950065951368
14.0,7.596976702238926,-26.748560811175288,-50.31195738685707
14.100000000000001,13.410191895511364,-12.407626591903865,-44.6906444399291
14.200000000000001,15.46440986319568,4.69710176530755,-35.17363683305987
14.3,14.313180336538956,19.771698266272633,-18.654121821368005
14.4,11.077896341418908,28.411776480225488,6.881392988979522
14.5,6.730437283178321,30.547400471390123,29.59045349248404
14.600000000000001,1.9097407898905396,28.63056761810508,37.02208101644949
14.700000000000001,-3.0130198767677685,24.812805079818265,36.572107263779834
14.8,-7.83866478501136,20.154315631053993,33.688063140372684
14.9,-12.470944976458854,15.102924062546647,29.723745545058506
15.0,-16.871327069655088,9.888249370951106,25.12028420092606
15.100000000000001,-21.033069207643784,4.650120230771742,20.136987531675434
15.200000000000001,-24.968409761578144,-0.5245399253410212,14.95997310511871
15.3,-28.70356110614265,-5.5857866232099465,9.722709005245981
15.4,-32.276763537011504,-10.510700729073442,4.515798943632479
15.5,-35.73691358667181,-15.297045395179369,-0.6043426763952071
15.600000000000001,-39.140554377202456,-19.960418640489173,-5.607607135259417
15.700000000000001,-42.54499329992977,-24.534891651191874,-10.483832260938614
15.8,-45.995946241058505,-29.076523925888946,-15.238822664669385
15.9,-49.50681495332288,-33.66722270020327,-19.89388719943277
16.0,-53.03052067942615,-38.41302618294173,-24.48983631158443
16.1,-56.43730667509499,-43.424930616190586,-29.097817088391583
16.2,-59.52884155769518,-48.76534053676973,-33.83553974666764
16.3,-62.109331941319375,-54.35412776476298,-38.88623342272601
16.400000000000002,-64.07778115122011,-59.88304650445146,-44.50314433178409
16.5,-65.46167678445634,-64.86246761588839,-50.94058068821616
16.6,-66.37097902135716,-68.85745129240311,-58.17405538260586
16.7,-66.93135804634439,-71.71225748885482,-65.36266635190574
16.8,-67.24572622880325,-73.53879866388935,-70.89596517013513
16.900000000000002,-67.38638736207393,-74.5769389902634,-73.98514422033786
17.0,-67.40256881215959,-75.09248201532279,-75.32640934837673
17.1,-67.33031390683469,-75.30687972598976,-75.83572679702664
17.2,-67.197659340203,-75.36419558427191,-76.01016064082171
17.3,-67.02569110824327,-75.3429000821063,-76.05281196020141
17.400000000000002,-66.82900201005495,-75.28175046547605,-76.04104653924296
17.5,-66.61692423828904,-75.19915431767859,-76.0047030540118
17.6,-66.39510287070367,-75.10381835902423,-75.95572979222972
17.7,-66.16684758455959,-74.99992094386424,-75.89910428400398
17.8,-65.93408139502091,-74.88951560562924,-75.83696436189388
17.900000000000002,-65.69793153984072,-74.77364174051904,-75.7702378526695
18.0,-65.4590800691265,-74.65284470477336,-75.69931532362195
18.1,-65.217960849932,-74.52742486858284,-75.62434054101674
18.2,-64.97487060731298,-74.39755994449746,-75.54534153700104
18.3,-64.73002728853606,-74.26336665054055,-75.46229240793608
18.400000000000002,-64.4836049016469,-74.12493245550858,-75.37514377683992
18.5,-64.23575322610266,-73.9823323851047,-75.28383851085681
18.6,-63.98660898467738,-73.83563810792096,-75.18832023640327
18.7,-63.736298615707454,-73.68492293392661,-75.08853819377393
18.8,-63.48494166662589,-73.5302643800572,-74.9844501125272
